# index, label, _pos
5095,"GAZZA, CJ","array([ 15.06680054, -66.25983372])"
5096,"CECCATTO, HA","array([  9.98166744, -64.97611762])"
5097,"MAHADEVAN, P","array([ 22.76725753, -82.08948201])"
5098,"SHANTHI, N","array([ 20.42206631, -90.69452919])"
5099,"WONG, T","array([ 82.31378865, -12.77311493])"
5100,"COLLETT, MJ","array([ 81.25011189, -15.83542142])"
5101,"TAN, SM","array([ 82.4945554 , -17.64792784])"
5102,"WRIGHT, EM","array([ 83.43122618, -20.89165362])"
5103,"MINAKUCHI, K","array([ 39.89032514, -23.80445404])"
5104,"HOLIAN, BL","array([-46.64859474,   7.99713265])"
5105,"GUMBSCH, P","array([-42.30976033,   3.79884278])"
5106,"LAMBRECHT, A","array([ 25.47098382, -21.95143097])"
5107,"BAO, W","array([ 24.41015398, -70.5974303 ])"
5108,"BROHOLM, C","array([ 26.4132261 , -66.63964897])"
5109,"DAI, P","array([ 20.61928602, -68.46933791])"
5110,"CHEN, CH","array([ 22.24760504, -77.59030839])"
5111,"GRAHAM, R","array([ 86.03072512, -15.18716232])"
5112,"WALLS, D","array([ 92.40929926, -12.9283556 ])"
5113,"YURKE, B","array([ -3.05670053, -35.20683762])"
5114,"PARGELLIS, AN","array([ -3.05971835, -35.97549048])"
5115,"RALPH, DC","array([ 21.13724303, -49.47073077])"
5116,"TINKHAM, M","array([ 28.92449582, -39.96551083])"
5117,"STAGER, CV","array([ 27.25290079, -71.32943909])"
5118,"RAJU, NP","array([ 26.80251536, -70.91196032])"
5119,"GREEDAN, JE","array([ 28.9747803 , -70.14903709])"
5120,"PHILLIPS, R","array([ 20.49091616, -29.03354462])"
5121,"YETHIRAJ, M","array([ 20.8984475 , -70.19473443])"
5122,"DOGAN, TBLF","array([ 16.34126703, -73.2764545 ])"
5123,"MILLER, R","array([ 21.23035507, -28.84597619])"
5124,"BELTZ, G","array([ 18.9270555 , -24.40504743])"
5125,"ORTIZ, M","array([ 16.08558946, -26.9812144 ])"
5126,"SCHROEDER, A","array([ 21.82189232, -70.95100156])"
5127,"BUCHER, E","array([ 23.42831493, -68.83131513])"
5128,"CLAUSEN, KN","array([ 22.46904791, -71.32683469])"
5129,"TRIOZON, F","array([-21.57649684, -68.0193298 ])"
5130,"KRAL, P","array([ 68.01431546, -58.33617672])"
5131,"GUREVICH, E","array([ 35.40036892, -21.17763948])"
5132,"KHAN, FS","array([ 51.84176464, -66.60488653])"
5133,"IMURA, K","array([  5.40861405, -72.85797961])"
5134,"BUYUKKILIC, F","array([-8.76882954, 15.06571194])"
5135,"DEMIRHAN, D","array([-9.45701253, 13.96972243])"
5136,"TIRNAKLI, U","array([-6.48569005,  7.31194466])"
5137,"BUZDIN, AI","array([ 10.63326466, -72.6982422 ])"
5138,"MILLER, GA","array([-159.09738347, -253.00196409])"
5139,"SORENSEN, LB","array([-161.04642627, -253.03777805])"
5140,"BENOIST, R","array([ -8.47675566, -53.00523772])"
5141,"ZWERGER, W","array([-13.13882065, -48.78157775])"
5142,"BRANCO, NS","array([-214.7442715 ,  -17.82714224])"
5143,"BULUTAY, C","array([287.84975304, -85.03009386])"
5144,"TOMAK, M","array([286.33016014, -86.99508526])"
5145,"BILSTEIN, U","array([ 39.34642086, -17.20604184])"
5146,"BEVAN, TDC","array([ 76.64910181, -79.44418379])"
5147,"MANNINEN, AJ","array([ 73.78036408, -72.26485588])"
5148,"COOK, JB","array([ 77.41043187, -79.96202003])"
5149,"HOOK, JR","array([ 81.47520164, -80.83489018])"
5150,"HALL, HE","array([ 76.59587783, -80.52622716])"
5151,"SULLOW, S","array([ 24.60193688, -74.38735516])"
5152,"NIEUWENHUYS, GJ","array([ 28.98809289, -72.96701395])"
5153,"MYDOSH, JA","array([ 25.13544153, -65.83560283])"
5154,"FERNANDEZ, P","array([ 48.70836217, -43.15374015])"
5155,"BALDERESCHI, A","array([ 46.02683846, -45.90602153])"
5156,"GLOEGGLER, EF","array([ 42.58619714, -71.07108806])"
5157,"FISK, Z","array([ 27.49565521, -69.02151813])"
5158,"FOZOONI, P","array([ 62.5880184 , -64.22598699])"
5159,"RICHARDSON, PJ","array([ 61.86154032, -66.19634865])"
5160,"LEA, MJ","array([ 66.85213821, -66.84989974])"
5161,"DYKMAN, MI","array([ 51.44955179, -61.41067595])"
5162,"FANGYEN, C","array([ 61.95831953, -65.42778235])"
5163,"BLACKBURN, A","array([ 62.64564047, -65.01552414])"
5164,"ACHARYYA, M","array([  0.63389576, -41.91969625])"
5165,"CHAKRABARTI, BK","array([  4.04353006, -31.53246058])"
5166,"GULACSI, M","array([-13.2317932 , -68.08863865])"
5167,"KUCHINSKII, EZ","array([-202.2565456 ,   16.10197826])"
5168,"ERKABAEV, MA","array([-200.49710185,   15.18397496])"
5169,"SAMS, T","array([9.58999165, 0.33530964])"
5170,"CHRISTENSEN, BE","array([10.30449196,  0.89832884])"
5171,"THRANE, U","array([9.04511516, 1.17863351])"
5172,"CASTRO, M","array([ 24.17803755, -44.60745532])"
5173,"HANSEN, LB","array([ 45.55398428, -56.44058682])"
5174,"LUNDQVIST, BI","array([ 38.11362869, -55.7667888 ])"
5175,"PAJERSKY, P","array([192.06528684, 164.53560788])"
5176,"SURDA, A","array([191.91385286, 162.42865528])"
5177,"TAKEUCHI, T","array([ 24.48135763, -67.43917697])"
5178,"HELLBERG, CS","array([ 43.42840108, -73.07526149])"
5179,"RAMANATHAN, S","array([ -7.35708937, -46.88179895])"
5180,"ERTACS, D","array([ -4.7485741 , -46.63713404])"
5181,"LIN, Y","array([ 11.4884021 , -22.44551555])"
5182,"MARQUES, CM","array([ -5.63606278, -48.64634745])"
5183,"JULICHER, F","array([-26.22508772, -43.56862128])"
5184,"PROST, J","array([-16.30956099, -43.98004744])"
5185,"SOWA, A","array([  37.38215216, -304.26526131])"
5186,"ROST, M","array([-10.16578523, -49.62716545])"
5187,"V, J","array([ 26.274268  , -36.89051211])"
5188,"ABANOV, AG","array([ 65.42490509, -58.93316746])"
5189,"SIDDHARTHAN, R","array([ 26.8799623 , -56.54158099])"
5190,"DUNSIGER, SR","array([ 29.2522561 , -75.01662821])"
5191,"KIEFL, RF","array([ 29.85012178, -75.23213248])"
5192,"CHOW, KH","array([ 27.24752514, -73.53202836])"
5193,"KEREN, A","array([ 26.20513077, -72.27549328])"
5194,"KOJIMA, K","array([ 26.6436626, -74.0614251])"
5195,"LUKE, GM","array([ 25.85308829, -74.53951488])"
5196,"MACFARLANE, WA","array([ 28.19101939, -76.46518765])"
5197,"SONIER, JE","array([ 29.43387672, -74.07415311])"
5198,"UEMURA, YJ","array([ 25.94746116, -73.43268142])"
5199,"WU, WD","array([ 25.70941486, -74.03012676])"
5200,"LEQUEUX, F","array([-12.94179096, -18.97685816])"
5201,"HEBRAUD, P","array([-12.12793095, -19.00380587])"
5202,"TAKAYAMA, H","array([-10.26775247, -59.43003012])"
5203,"PENNA, V","array([ 53.40028936, -38.73181404])"
5204,"DUIN, CNAV","array([ 30.72134387, -41.57213212])"
5205,"TITOV, M","array([ 44.59253371, -10.87839514])"
5206,"PHYSIQUE, VRVCD","array([-24.47372704, -75.47537378])"
5207,"LEE, JW","array([-19.32250377, -49.12708758])"
5208,"VENAKIDES, S","array([ 24.44935709, -15.16330933])"
5209,"BLAGOEV, KB","array([ 35.0960823 , -38.81975201])"
5210,"BEDELL, KS","array([ 38.72606797, -29.16950264])"
5211,"DERELI, G","array([287.9654794 , -88.22516991])"
5212,"CAGIN, T","array([287.26755479, -89.67560372])"
5213,"ULUDOGAN, M","array([285.83467767, -88.96231117])"
5214,"OLIVEIRA, MJD","array([ 19.26367951, 201.98142031])"
5215,"SATULOVSKY, J","array([ 17.11405243, 202.189326  ])"
5216,"WAELBROECK, H","array([-14.8477674 ,   1.97628948])"
5217,"ZYCZKOWSKI, K","array([ 32.2468178, -13.6609154])"
5218,"COHEN, D","array([ 24.96887714, -35.90312924])"
5219,"SHIN, D","array([ 112.44531647, -299.48704292])"
5220,"PECH, J","array([ -2.28312717, -21.4436709 ])"
5221,"ULLOD, CL","array([ -0.35819955, -22.91222172])"
5222,"SHARPE, SR","array([ -7.26964271, -60.2482549 ])"
5223,"FAUSER, B","array([264.89861903, -62.7271399 ])"
5224,"KOJIMA, T","array([ 67.58201601, -93.11060899])"
5225,"SLAVNOV, N","array([ 68.86081022, -93.20952448])"
5226,"TORNKVIST, O","array([-135.89723933,  108.6992315 ])"
5227,"SCHRODER, E","array([-137.6827082 ,  107.77643524])"
5228,"CHASE, JG","array([43.19830939,  9.72203877])"
5229,"LIDAR, DA","array([36.99404067,  4.36335223])"
5230,"THOMS, S","array([-67.21938556, -87.87463502])"
5231,"SCHULTEFROHLINDE, V","array([-66.61392645, -86.61121834])"
5232,"ZWIERZYCKI, M","array([-40.63288817, -41.66844391])"
5233,"KATAEV, V","array([   4.90190071, -103.446213  ])"
5234,"RAMEEV, B","array([   6.21932049, -103.68197752])"
5235,"HUECKER, M","array([   5.67542315, -102.75716356])"
5236,"BOROWSKI, R","array([   5.38908088, -104.39790037])"
5237,"JOST, M","array([-21.93910613, -41.70528127])"
5238,"POLITI, A","array([ 20.30277363, -15.89893241])"
5239,"GIRLICH, U","array([36.68661943, 25.56834958])"
5240,"HELLMUND, M","array([35.45564185, 18.13165097])"
5241,"POPOVIC, D","array([ 65.56762265, -75.5784851 ])"
5242,"WASHBURN, S","array([ 68.48185942, -74.96326977])"
5243,"KOSEKI, O","array([   2.81345657, -111.84000307])"
5244,"SEITSONEN, AP","array([ 51.30333239, -45.42433776])"
5245,"DIETRICH, H","array([ 56.50153204, -46.73419074])"
5246,"BLUDAU, H","array([ 57.08708293, -47.12045137])"
5247,"JACOBI, K","array([ 57.28551578, -47.80442193])"
5248,"TAYLOR, J","array([ 46.02156127, -36.45873153])"
5249,"ZHARKOV, VM","array([-25.73909912, 227.55123948])"
5250,"ZEUNER, S","array([ 41.59261102, -28.39829286])"
5251,"ALLEN, SJ","array([ 44.05784585, -35.44426029])"
5252,"BUSCHINGER, B","array([ 23.31695448, -82.50964933])"
5253,"ROBERTS, AP","array([  -5.34828809, -305.26011306])"
5254,"DAMASCELLI, A","array([ 27.36173007, -85.18957794])"
5255,"SCHULTE, K","array([ 29.4723721 , -89.87997379])"
5256,"SOUKOULIS, CM","array([ 16.74640102, -64.95337052])"
5257,"SASVARI, L","array([ -3.09640808, -11.57605676])"
5258,"GARCIA, AE","array([102.98611462, -62.08794887])"
5259,"ZEPEDANAVRATIL, A","array([103.47625036, -63.43818879])"
5260,"CAMACHO, A","array([101.87548703, -62.71499369])"
5261,"SVOBODA, P","array([ 73.46459059, -47.09073468])"
5262,"NACHTWEI, G","array([ 72.60773488, -47.90476264])"
5263,"BREITLOW, C","array([ 72.76537787, -46.58234124])"
5264,"HEIDE, S","array([ 73.60616728, -48.06323982])"
5265,"NOACK, R","array([  7.42018425, -59.13266944])"
5266,"FLIESSER, M","array([ 88.3643293, -14.0987622])"
5267,"BLUHM, R","array([ 47.92161936, -42.26375005])"
5268,"KOSTELECKY, VA","array([ 48.36279939, -41.69509168])"
5269,"ASTE, T","array([17.26399612, -5.75647012])"
5270,"AKKERMANS, E","array([ 20.96284991, -13.54077849])"
5271,"NAREVICH, R","array([18.91260423,  1.44642708])"
5272,"HUANG, Y","array([ 16.04795701, -30.45962258])"
5273,"SAMMIS, CG","array([ 14.00035526, -27.94597494])"
5274,"TATARA, G","array([ 26.5060246 , -43.39323504])"
5275,"LIU, L","array([ 47.23309475, -54.33838631])"
5276,"MEDVEDEV, MV","array([-121.25186039, -215.53191831])"
5277,"SELKE, W","array([-20.40971461, -49.94477757])"
5278,"YANG, CB","array([-212.89839285, -146.9993963 ])"
5279,"CAI, X","array([-211.13569312, -148.17649064])"
5280,"FIELD, SB","array([ 32.2896424 , -57.89608534])"
5281,"GRIFFITHS, RB","array([-16.49570262, -22.27110675])"
5282,"BOOSE, D","array([15.93243305,  3.79871894])"
5283,"RIVIER, N","array([16.90176067,  3.50063492])"
5284,"PLIMAK, LI","array([ 82.48042926, -16.68934592])"
5285,"WILKINSON, M","array([ 33.88602547, -16.68178414])"
5286,"WALKER, PN","array([ 36.87251858, -23.26302021])"
5287,"CHINYAMA, K","array([ 37.71004968, -14.25881374])"
5288,"PAUL, W","array([ -7.05570618, -28.97219414])"
5289,"CLAUS, U","array([  4.84189652, -37.65678712])"
5290,"GU, L","array([-16.56714339, -86.89114305])"
5291,"GROSS, NA","array([ -5.90972707, -80.42038647])"
5292,"FIORENTIN, V","array([ 49.04994278, -64.69448767])"
5293,"KORNISS, G","array([  2.72987757, -50.18670103])"
5294,"FONG, HF","array([ 15.70441461, -80.84433182])"
5295,"KEIMER, B","array([ 19.68595748, -80.35514574])"
5296,"MILIUS, DL","array([ 14.54015023, -80.88535771])"
5297,"AKSAY, IA","array([ 15.10893979, -80.6996628 ])"
5298,"BERKOWITZ, B","array([ -6.43071595, -31.0420096 ])"
5299,"BALBERG, I","array([ -7.21967396, -32.8874646 ])"
5300,"TOROCZKAI, Z","array([  1.85220304, -48.77180926])"
5301,"LABERGE, CA","array([-14.10070395, -36.73159499])"
5302,"AUSLENDER, M","array([ 40.55628192, -27.56353999])"
5303,"KAUFMANN, HJ","array([  30.5138933 , -105.35762483])"
5304,"SALJE, EKH","array([  30.21856279, -106.77899205])"
5305,"YAGIL, Y","array([  27.75746619, -104.33238241])"
5306,"CROWELL, PA","array([ 94.52167791, -84.80999333])"
5307,"KEULS, FWV","array([ 95.64576101, -84.02112784])"
5308,"REPPY, JD","array([ 89.43715707, -80.07685108])"
5309,"TAKANO, H","array([-17.50720121, -74.82863572])"
5310,"GUNSENHEIMER, U","array([ 44.5028495 , -47.23431414])"
5311,"SZETO, KY","array([13.5208159 , -5.29126264])"
5312,"TAM, WY","array([13.29957419, -4.55755449])"
5313,"PIEKAREWICZ, J","array([-229.57564437, -165.41678754])"
5314,"SHEPARD, JR","array([-229.19058436, -167.33528649])"
5315,"KAHLILOV, VR","array([291.45033859, -63.08461216])"
5316,"COLUZZI, B","array([  1.22291437, -34.2123494 ])"
5317,"POHJOLA, T","array([ 41.83337273, -39.32655014])"
5318,"SALOMAA, MM","array([ 48.34908915, -37.2237609 ])"
5319,"DOBEREINER, HG","array([-12.87857101, -14.39406214])"
5320,"EVANS, E","array([-13.13554189, -13.36486707])"
5321,"WORTIS, M","array([-12.13012416, -13.62778733])"
5322,"MALYSHEV, C","array([-29.3522844 , -70.35704687])"
5323,"BENVENUTO, F","array([ 46.47947064, -15.25401707])"
5324,"SILVA, PPD","array([ 43.8929589 , -30.59973212])"
5325,"BOCKRATH, M","array([ 44.75925575, -48.66474635])"
5326,"MCEUEN, PL","array([ 44.73777894, -50.24053926])"
5327,"CHOPRA, NG","array([ 50.70294838, -50.28795948])"
5328,"ZETTL, A","array([ 52.46868844, -56.0404897 ])"
5329,"THESS, A","array([ 53.07872304, -51.41984426])"
5330,"SMALLEY, RE","array([ 49.17235495, -51.34861108])"
5331,"DAHM, T","array([ 34.7486359 , -56.99475231])"
5332,"ZEMAN, J","array([ 22.82534264, -84.09889989])"
5333,"KNEZEVIC, M","array([-199.52276184, -180.7912165 ])"
5334,"ELEZOVICHADZIC, S","array([-197.79298215, -178.98360593])"
5335,"KISELEV, SA","array([ 55.73357461, 180.75103019])"
5336,"SIEVERS, AJ","array([ 57.55797136, 181.82694824])"
5337,"SAVAGE, CM","array([ 87.14259117, -11.30917898])"
5338,"MINNITI, C","array([ 76.3114756 , -30.97415699])"
5339,"DRESS, C","array([ 43.47961141, -29.84340949])"
5340,"REN, H","array([ 56.61638969, -31.95770672])"
5341,"SCHREIBER, GR","array([63.63510979, 12.25927966])"
5342,"MINGUZZI, A","array([ 63.73997967, -18.05651744])"
5343,"TOSI, MP","array([ 64.17127864, -17.29973942])"
5344,"LOPEZDAVALOS, A","array([ 70.63850325, -44.63807545])"
5345,"HOCHBERG, D","array([-39.48058172,  34.19223928])"
5346,"KEPHART, TW","array([-42.02168813,  38.28728743])"
5347,"EDWARDS, G","array([-40.64377424,  38.88825281])"
5348,"MURATOV, CB","array([-86.23282862, 172.5227141 ])"
5349,"CORNELL, EA","array([ 73.80415057, -29.76601558])"
5350,"SWIERKOWSKI, L","array([ 50.37135278, -45.51023707])"
5351,"ERRANDONEA, D","array([  28.25148166, -108.78458208])"
5352,"SEGURA, A","array([  27.60841229, -107.6751233 ])"
5353,"SANCHEZROYO, JF","array([  26.92335018, -107.26789735])"
5354,"MUNOZ, V","array([  27.31687223, -105.93634482])"
5355,"GRIMA, P","array([  28.38027672, -105.84055276])"
5356,"CHEVY, A","array([  28.36882539, -107.18909046])"
5357,"ULRICH, C","array([ 27.22180436, -95.29157315])"
5358,"CHUI, ST","array([ 57.0898497, -44.9376112])"
5359,"RYZHOV, VN","array([ 66.99634429, -44.96867437])"
5360,"IRZ, DY","array([-89.39624266, 148.38392649])"
5361,"CHEN, H","array([ -9.40370646, -34.68351545])"
5362,"PRAEHOFER, M","array([-29.0579543 , -29.00526197])"
5363,"SPOHN, H","array([-20.14015531, -30.03418411])"
5364,"OUDOVENKO, V","array([ 17.56111041, -90.893329  ])"
5365,"SAMUKHIN, AN","array([ 60.72447015, -53.43121378])"
5366,"JASTRABIK, L","array([ 64.76380077, -53.06122487])"
5367,"OHNISHI, A","array([-201.37714846, -130.01862891])"
5368,"RANDRUP, J","array([-199.41811741, -130.39663097])"
5369,"YURISHCHEV, MA","array([-137.06371362, -267.71486384])"
5370,"GONNELLI, RS","array([ 17.9633565 , -65.49085224])"
5371,"UMMARINO, GA","array([ 10.90352573, -64.74747539])"
5372,"STEPANOV, VA","array([ 13.56802417, -71.69335373])"
5373,"PIERSON, SW","array([ 46.47504636, -49.95192509])"
5374,"PLIMPTON, S","array([-37.00447892, -41.51679886])"
5375,"SHCHUR, LN","array([-30.25318513, -43.14478612])"
5376,"MUKAIDA, H","array([ 15.39175349, -39.12005252])"
5377,"SAKAMOTO, Y","array([ 15.93315017, -39.93729522])"
5378,"BARYAKHTAR, IV","array([-108.26367428, -250.50043075])"
5379,"MOUKARZEL, CF","array([-15.02981298, -49.78088734])"
5380,"DUXBURY, PM","array([-11.51552269, -55.92659804])"
5381,"BENENTI, G","array([ 39.15719706, -21.09756002])"
5382,"LEATH, PL","array([ -6.8264628 , -47.40093262])"
5383,"SCHAFROTH, S","array([ 16.71159906, -62.23868921])"
5384,"RODRIGUEZ, JJ","array([ 13.61817846, -62.0398286 ])"
5385,"ZAITSEVZOTOV, SV","array([ 63.17779355, -62.88826497])"
5386,"REMENYI, G","array([ 68.66179151, -62.124121  ])"
5387,"MONCEAU, P","array([ 61.42985616, -59.30545672])"
5388,"MIZUNO, Y","array([ 19.37438306, -74.73095374])"
5389,"TOHYAMA, T","array([ 22.88724968, -70.33620244])"
5390,"REISENEGGER, A","array([  -9.67605981, -257.82169405])"
5391,"MITCHELL, D","array([ 23.0804658, -28.0075605])"
5392,"CHEON, T","array([ 15.39202569, -27.39527588])"
5393,"SHIGEHARA, T","array([ 13.82580025, -38.01734135])"
5394,"GRANZOW, GD","array([146.71862765, 176.91555613])"
5395,"RIECKE, H","array([147.56258293, 178.73118029])"
5396,"REISZ, T","array([  68.12847511, -319.81687577])"
5397,"ELLIS, J","array([220.08855542, 128.24027895])"
5398,"KARLINER, M","array([218.96620833, 129.0463718 ])"
5399,"SAMUEL, MA","array([221.2124226 , 127.32542228])"
5400,"OH, P","array([ 59.7370126 , -56.67474064])"
5401,"ALLEN, RE","array([ 194.00556638, -226.15850916])"
5402,"ZIMMERSCHIED, F","array([ 69.4990539 , -45.61273827])"
5403,"BRANCHINA, V","array([20.38184583, -6.56750684])"
5404,"MOHRBACH, H","array([21.3471897 , -6.83744888])"
5405,"BORGES, PF","array([-186.8845165 , -144.75997374])"
5406,"BOSCHIFILHO, H","array([-188.83924449, -145.45198123])"
5407,"FARINA, C","array([-187.18347216, -146.67070279])"
5408,"LU, C","array([ 53.8009786 , -66.42086181])"
5409,"HIGUCHI, S","array([ 17.94815423, -34.98883811])"
5410,"NISHIGAKI, SM","array([ 15.00254083, -29.18156783])"
5411,"SAKAI, N","array([ 16.94935462, -35.95046891])"
5412,"CONCAS, G","array([ 92.01066148, 212.83842658])"
5413,"LISSIA, M","array([ 93.68604782, 211.77178915])"
5414,"BULGAC, A","array([ 19.88602099, -41.06310904])"
5415,"DANG, GD","array([ 19.45970027, -34.8232466 ])"
5416,"HOFMANN, HF","array([-156.65601471, -230.00826335])"
5417,"BRITO, R","array([-13.48301758, -11.97770686])"
5418,"MAILLET, JM","array([141.66739098, 131.42353619])"
5419,"SANTOS, JSD","array([140.38917277, 133.19556788])"
5420,"BUTTS, DA","array([-25.73093155, -39.07164749])"
5421,"HAMA, Y","array([-196.92706957,  -38.35717897])"
5422,"KODAMA, T","array([-196.68878224,  -35.93690503])"
5423,"PADULA, SS","array([-198.61672659,  -37.45296219])"
5424,"DITTRICH, J","array([  50.17260884, -259.48611726])"
5425,"ARTEMENKO, SN","array([ 62.48894222, -54.47360878])"
5426,"KOBELKOV, AG","array([ 72.2681996 , -55.89160758])"
5427,"DITUSA, JF","array([ 17.55718644, -71.04856147])"
5428,"FRIEMELT, K","array([ 22.03730608, -67.50968754])"
5429,"RAMIREZ, AP","array([ 28.66570138, -61.09642099])"
5430,"JR, EN","array([-21.78501255,  10.07626705])"
5431,"NOBRE, FD","array([-23.19097141,   8.77788459])"
5432,"ALMEIDA, JRLD","array([-22.07905104,   8.92237384])"
5433,"GALSTYAN, AG","array([ 49.03403756, -27.89627758])"
5434,"CRESWICK, RJ","array([ 40.14117486, -44.39924321])"
5435,"STEINITZ, MO","array([ 12.80864194, -97.09402708])"
5436,"PINK, DA","array([ 12.19866245, -96.32401248])"
5437,"TINDALL, DA","array([ 13.82837788, -96.96442652])"
5438,"KIM, G","array([ 54.89759728, -45.24907242])"
5439,"HWANG, DS","array([ 65.18916431, -45.24999411])"
5440,"ALDEA, A","array([ 79.7562337 , -15.95212319])"
5441,"GARTNER, P","array([ 79.66171866, -14.82305867])"
5442,"NITA, M","array([ 76.25788468, -17.53198135])"
5443,"SHUKLA, A","array([ 23.95144985, -73.46877396])"
5444,"DIXON, DC","array([ 56.08993462, -57.19733842])"
5445,"WALD, KR","array([ 58.32949616, -56.47003255])"
5446,"CZART, WR","array([ 115.81055431, -253.43108346])"
5447,"KOSTYRKO, T","array([ 116.30208345, -255.30167752])"
5448,"ROBASZKIEWICZ, S","array([ 114.09193708, -254.89650876])"
5449,"PREIS, C","array([ -0.57026918, -61.50434971])"
5450,"SCHLENGA, K","array([  0.49786088, -61.18876762])"
5451,"KLEINER, R","array([  4.70221426, -59.85540362])"
5452,"CONWELL, EM","array([ 45.61434981, -30.840195  ])"
5453,"FANG, J","array([-17.34242825, -38.12703459])"
5454,"TEER, E","array([-17.10994955, -37.23068564])"
5455,"KNOBLER, CM","array([-21.19540024, -32.50257444])"
5456,"LOH, K","array([-17.93697907, -37.57766976])"
5457,"SCHULZE, C","array([ 37.61530722, -20.45758072])"
5458,"HAJDU, J","array([ 37.55974063, -21.42931983])"
5459,"ONUFRIEV, A","array([ 279.40772019, -129.77686098])"
5460,"MARSTON, B","array([ 277.69223124, -130.69536484])"
5461,"CASTLETON, IM","array([ 47.90111689, -43.72986444])"
5462,"BARNES, CHW","array([ 42.57981186, -44.08599219])"
5463,"SMITH, CG","array([ 50.74104511, -42.04750547])"
5464,"SCHENK, K","array([ -0.49211703, -44.30025262])"
5465,"SONG, PH","array([ 32.38438456, -32.83835436])"
5466,"OHIRA, T","array([-150.64246478, -222.45126788])"
5467,"TRACY, CA","array([ 139.79443862, -244.37670661])"
5468,"WIDOM, H","array([ 140.07709789, -242.45025798])"
5469,"CHIOLERO, A","array([ 49.88026453, -27.8066017 ])"
5470,"STOICA, O","array([ 27.76650489, -67.57775661])"
5471,"PODKLETNOV, EE","array([-217.23195681,  -27.21279416])"
5472,"ZOCCHI, G","array([11.10521072, -3.9961607 ])"
5473,"XIONG, S","array([ 25.42798788, -40.61100203])"
5474,"PUNYINDU, P","array([ 13.71106586, -49.68113769])"
5475,"BLACK, CT","array([ 19.34754237, -41.39355012])"
5476,"SOUZA, I","array([ 43.76694814, -71.77398366])"
5477,"MARTINS, JL","array([ 52.48186424, -78.96594454])"
5478,"ATTARD, P","array([-11.27381305, -26.66197554])"
5479,"SIMONIAN, V","array([-11.01397405, -25.58827311])"
5480,"JAVANAINEN, J","array([96.95195619, -4.30829369])"
5481,"PEREZGARRIDO, A","array([ 24.61206317, -26.27203197])"
5482,"KOJIMA, KM","array([ 21.70854733, -73.51788175])"
5483,"FUDAMOTO, Y","array([ 25.08650916, -73.90114479])"
5484,"LARKIN, M","array([ 22.05796809, -74.77552413])"
5485,"MERRIN, J","array([ 22.14404233, -73.38398929])"
5486,"NACHUMI, B","array([ 22.11465513, -73.95883297])"
5487,"MOTOYAMA, N","array([ 20.39684769, -73.74424484])"
5488,"EISAKI, H","array([ 21.38549114, -74.69108852])"
5489,"HOSOYA, S","array([ 21.10040355, -76.19929595])"
5490,"STERNLIEB, BJ","array([ 21.59061788, -75.94044379])"
5491,"COSTA, UMS","array([  2.9789257 , -13.60534464])"
5492,"LYRA, ML","array([-2.950706  , -1.05378055])"
5493,"PLASTINO, AR","array([-2.07048521, -4.792564  ])"
5494,"GROBER, C","array([ 16.18450822, -53.87045985])"
5495,"FEINER, LF","array([ 33.99242176, -65.82862108])"
5496,"OLES, AM","array([ 32.82145779, -72.2309302 ])"
5497,"PORTMAN, JJ","array([ 20.03847925, -35.6061189 ])"
5498,"WONG, LW","array([ 52.58638387, -89.38512728])"
5499,"JIANG, HW","array([ 45.71897237, -80.12642608])"
5500,"SCHAFF, WJ","array([ 51.68822957, -88.5046527 ])"
5501,"CABRA, D","array([  4.03821909, -76.63979513])"
5502,"ROSSINI, G","array([  4.25308483, -77.38634163])"
5503,"SACRAMENTO, PD","array([ 31.81876933, -49.98090006])"
5504,"MARSH, CA","array([-15.5336575 , -18.00164594])"
5505,"BERTHIER, C","array([ 25.9612158 , -76.44270474])"
5506,"HORVATIC, M","array([ 25.32611044, -76.17243639])"
5507,"STOCKERT, O","array([ 38.30395306, -74.03371192])"
5508,"LOHNEYSEN, HV","array([ 39.57141205, -70.66947939])"
5509,"POON, WCK","array([-22.82956231, -20.284721  ])"
5510,"BUTAUD, P","array([ 37.8425933 , -43.67446058])"
5511,"YUKALOV, VI","array([-5.51726341,  3.14174816])"
5512,"MAKEEV, MA","array([ 15.32858021, -26.55722348])"
5513,"MOORE, C","array([-16.40788228, -14.54948719])"
5514,"CUNIBERTI, G","array([ 16.76219611, -37.30001969])"
5515,"MARTINEZRATON, Y","array([-21.07787315, -47.99152438])"
5516,"VERBERG, R","array([ -8.10325699, -13.54918944])"
5517,"SCHEPPER, IMD","array([ -8.5889254 , -14.27286111])"
5518,"FEIGENBAUM, MJ","array([ -0.74071726, -15.48787297])"
5519,"GORELIK, L","array([ 43.72552534, -40.7910762 ])"
5520,"KULINICH, S","array([ 43.18900244, -40.42078433])"
5521,"ARYASETIAWAN, F","array([ 41.14618318, -71.19156847])"
5522,"BAKER, TH","array([-38.35605921, -45.35945273])"
5523,"BRAUN, OM","array([ 40.01334127, -17.96333877])"
5524,"DAUXOIS, T","array([ 33.49996314, -19.23599194])"
5525,"PALIY, MV","array([ 40.97119248, -18.13025188])"
5526,"USSISHKIN, I","array([ 13.26891415, -40.41836077])"
5527,"TORNOW, S","array([ 17.47506166, -16.54472028])"
5528,"ZEVIN, V","array([ 13.58991855, -10.1458177 ])"
5529,"ZWICKNAGL, G","array([15.75817847, -8.08650059])"
5530,"HO, CL","array([ 47.36891606, 180.91381676])"
