COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Jordan,JOR,EMRO,REPORTING,2022-08-21,1.0057975E7,4821579.0,99.0,47.0,4558313.0,45.0,,2021-01-13,,682211.0,7.0
Kiribati,KIR,WPRO,REPORTING,2023-02-06,219980.0,100900.0,184.0,84.0,81474.0,68.0,,2021-05-26,,37606.0,31.0
Republic of Korea,KOR,WPRO,REPORTING,2023-09-04,1.35927574E8,4.5119824E7,265.0,88.0,4.4689199E7,87.0,,2021-02-26,,3.3644119E7,66.0
Lao People's Democratic Republic,LAO,WPRO,REPORTING,2023-05-21,1.387941E7,6324678.0,191.0,87.0,5691962.0,78.0,,2020-11-25,,2451034.0,34.0
Lebanon,LBN,EMRO,REPORTING,2022-12-22,5814699.0,2740227.0,85.0,40.0,2414223.0,35.0,,2021-02-14,,660249.0,10.0
Liechtenstein,LIE,,REPORTING,,71104.0,26681.0,,,26346.0,,,,,18310.0,
Sri Lanka,LKA,SEARO,REPORTING,2022-10-30,4.011659E7,1.7143761E7,187.0,80.0,1.4752827E7,69.0,,2021-01-29,,8220002.0,38.0
"China, Macao SAR",MAC,WPRO,REPORTING,,,,,,,,,,,,
Maldives,MDV,SEARO,REPORTING,2023-05-25,951764.0,399308.0,176.0,74.0,385167.0,71.0,,2021-02-01,,167289.0,31.0
Myanmar,MMR,SEARO,REPORTING,2023-08-21,9.3477104E7,4.1551927E7,172.0,76.0,3.5937796E7,66.0,,2021-01-27,,1.5987381E7,29.0
Mongolia,MNG,WPRO,REPORTING,2023-03-17,5668144.0,2284018.0,173.0,70.0,2185282.0,67.0,,2021-02-23,,1058839.0,32.0
New Caledonia,NCL,WPRO,REPORTING,2023-04-03,480497.0,192371.0,168.0,67.0,184801.0,65.0,,2021-01-20,,103325.0,36.0
Niue,NIU,WPRO,REPORTING,2023-03-04,4923.0,1638.0,304.0,100.0,1635.0,100.0,,2021-06-08,,1225.0,76.0
Nepal,NPL,SEARO,REPORTING,2023-11-23,6.2627629E7,2.7883196E7,215.0,96.0,2.4471043E7,84.0,,2021-01-27,,1.027339E7,35.0
Nauru,NRU,WPRO,REPORTING,2023-02-20,32157.0,13106.0,297.0,100.0,11346.0,100.0,,2021-04-09,,7705.0,71.0
New Zealand,NZL,WPRO,REPORTING,2023-04-21,1.2252378E7,4259911.0,254.0,88.0,4096278.0,85.0,,2021-02-19,,2719283.0,56.0
Oman,OMN,EMRO,REPORTING,2022-10-25,7108547.0,3279632.0,139.0,64.0,3048826.0,60.0,,2020-12-29,,779859.0,15.0
Pakistan,PAK,EMRO,REPORTING,2023-11-14,3.40974144E8,1.6556789E8,154.0,75.0,1.40475871E8,64.0,,2021-02-03,,5.3152375E7,24.0
Philippines,PHL,WPRO,REPORTING,2023-03-19,1.89317158E8,8.2684774E7,173.0,75.0,7.8443972E7,72.0,,2021-03-01,,2.3811248E7,22.0
Palau,PLW,WPRO,REPORTING,2023-03-10,51032.0,20295.0,282.0,100.0,18278.0,100.0,,2021-01-03,,12885.0,71.0
"occupied Palestinian territory, including east Jerusalem",PSE,EMRO,REPORTING,2022-10-18,3748571.0,2012767.0,73.0,39.0,1776973.0,35.0,,2021-02-02,,336967.0,7.0
French Polynesia,PYF,WPRO,REPORTING,2023-07-17,493692.0,195688.0,176.0,70.0,195688.0,70.0,,2021-01-18,,102317.0,36.0
Qatar,QAT,EMRO,REPORTING,2023-05-07,7609178.0,2852178.0,264.0,99.0,2852178.0,99.0,,,,1904822.0,66.0
Saudi Arabia,SAU,EMRO,REPORTING,2023-04-25,6.8534631E7,2.7041364E7,197.0,78.0,2.5433941E7,73.0,,2021-01-06,,1.6059326E7,46.0
Singapore,SGP,WPRO,REPORTING,2023-08-29,1.530253E7,5287005.0,262.0,90.0,5248693.0,90.0,,2020-12-30,,4769158.0,82.0
Saint Helena,SHN,,REPORTING,,,,,,,,,,,,
Solomon Islands,SLB,WPRO,REPORTING,2023-07-04,612700.0,335796.0,89.0,49.0,254016.0,37.0,,2021-03-23,,27896.0,4.0
Syrian Arab Republic,SYR,EMRO,REPORTING,2023-04-18,5090630.0,3295630.0,29.0,19.0,2358365.0,13.0,,2021-04-01,,75881.0,
Thailand,THA,SEARO,REPORTING,2023-09-01,1.42635014E8,5.7666184E7,204.0,83.0,5.4196116E7,78.0,,2021-02-28,,3.2143431E7,46.0
Tokelau,TKL,WPRO,REPORTING,2022-12-05,6342.0,2203.0,470.0,100.0,2203.0,100.0,,2021-07-20,,968.0,72.0
Timor-Leste,TLS,SEARO,REPORTING,2023-11-22,2028798.0,886838.0,154.0,67.0,801759.0,61.0,,2021-04-07,,340201.0,26.0
Tonga,TON,WPRO,REPORTING,2023-06-30,204737.0,87375.0,194.0,83.0,77390.0,73.0,,2021-04-14,,38588.0,37.0
Tuvalu,TUV,WPRO,REPORTING,2023-02-01,26783.0,9763.0,227.0,83.0,9505.0,81.0,,2021-04-13,,5745.0,49.0
"Taiwan, China",TWN,,REPORTING,,,,,,,,,,,,
Viet Nam,VNM,WPRO,REPORTING,2023-06-30,2.66492149E8,9.0497674E7,274.0,93.0,8.5961564E7,88.0,,2021-03-08,,5.797522E7,60.0
Vanuatu,VUT,WPRO,REPORTING,2023-02-20,355430.0,176624.0,116.0,58.0,162250.0,53.0,,2021-06-02,,16556.0,5.0
Wallis and Futuna,WLF,WPRO,REPORTING,2023-01-23,17303.0,7150.0,154.0,64.0,6803.0,60.0,,2021-03-19,,3350.0,30.0
Samoa,WSM,WPRO,REPORTING,2023-02-24,453130.0,191403.0,228.0,96.0,177954.0,90.0,,2021-04-18,,82268.0,41.0
